iter	Passed	Remaining
0	160	80076
1	177	44103
2	186	30853
3	193	23967
4	198	19693
5	206	16997
6	212	14961
7	219	13528
8	225	12311
9	232	11397
10	238	10596
11	244	9931
12	250	9380
13	254	8826
14	260	8413
15	267	8084
16	274	7789
17	279	7486
18	285	7221
19	291	6990
20	297	6783
21	300	6520
22	306	6358
23	313	6210
24	319	6075
25	324	5917
26	327	5743
27	333	5627
28	338	5491
29	340	5341
30	344	5214
31	347	5086
32	351	4973
33	353	4847
34	357	4753
35	361	4652
36	364	4562
37	367	4464
38	370	4381
39	373	4292
40	376	4220
41	379	4142
42	383	4071
43	385	3999
44	389	3933
45	392	3875
46	397	3828
47	400	3769
48	404	3721
49	407	3666
50	410	3617
51	414	3572
52	418	3530
53	422	3490
54	425	3442
55	429	3402
56	432	3360
57	436	3326
58	440	3289
59	444	3259
60	448	3229
61	451	3192
62	456	3164
63	463	3158
64	466	3121
65	470	3096
66	477	3086
67	482	3064
68	485	3032
69	490	3010
70	495	2995
71	498	2965
72	501	2934
73	504	2905
74	508	2880
75	513	2865
76	516	2835
77	522	2827
78	524	2797
79	527	2769
80	530	2744
81	534	2725
82	538	2702
83	540	2677
84	544	2659
85	547	2636
86	551	2616
87	554	2595
88	558	2577
89	561	2556
90	564	2538
91	567	2516
92	570	2495
93	573	2478
94	577	2461
95	581	2447
96	585	2430
97	588	2413
98	592	2401
99	597	2389
100	601	2375
101	605	2362
102	608	2345
103	612	2331
104	616	2318
105	619	2302
106	622	2287
107	627	2277
108	631	2264
109	634	2249
110	639	2239
111	643	2230
112	648	2220
113	652	2210
114	657	2200
115	659	2183
116	662	2170
117	665	2155
118	669	2141
119	673	2133
120	677	2122
121	680	2109
122	684	2099
123	687	2085
124	690	2072
125	693	2057
126	696	2046
127	699	2032
128	703	2023
129	706	2011
130	710	2000
131	713	1988
132	716	1977
133	719	1965
134	722	1954
135	725	1942
136	730	1935
137	733	1923
138	736	1912
139	739	1901
140	743	1891
141	746	1880
142	750	1872
143	753	1861
144	757	1854
145	760	1843
146	764	1835
147	767	1826
148	771	1817
149	776	1811
150	778	1799
151	783	1793
152	786	1782
153	790	1775
154	792	1764
155	796	1756
156	799	1746
157	803	1738
158	806	1728
159	809	1721
160	813	1711
161	817	1706
162	822	1700
163	825	1691
164	828	1681
165	830	1671
166	833	1661
167	837	1654
168	840	1647
169	843	1637
170	846	1629
171	851	1624
172	856	1618
