Fetch_Time,Forecast_Target_Time,Latitude,Longitude,Temperature,Humidity,Wind_Speed,Cloud_Cover,Pressure,Rain
2026-05-19 01:14:41,2026-05-18T01:00,-6.36,106.33,24.4,93,3.4,98,1002.8,0
2026-05-19 01:14:41,2026-05-18T02:00,-6.36,106.33,23.8,95,3.6,99,1002.4,0
2026-05-19 01:14:41,2026-05-18T03:00,-6.36,106.33,23.5,96,3.2,97,1002.0,0
2026-05-19 01:14:41,2026-05-18T04:00,-6.36,106.33,23.5,95,2.3,90,1002.0,0
2026-05-19 01:14:41,2026-05-18T05:00,-6.36,106.33,23.4,94,2.2,92,1002.0,0
2026-05-19 01:14:41,2026-05-18T06:00,-6.36,106.33,23.4,89,3.2,92,1002.2,0
2026-05-19 01:14:41,2026-05-18T07:00,-6.36,106.33,25.2,82,4.1,34,1003.2,0
2026-05-19 01:14:41,2026-05-18T08:00,-6.36,106.33,26.6,79,3.6,8,1003.6,0
2026-05-19 01:14:41,2026-05-18T09:00,-6.36,106.33,28.5,73,2.7,13,1004.0,0
2026-05-19 01:14:41,2026-05-18T10:00,-6.36,106.33,30.0,67,0.9,2,1003.6,0
2026-05-19 01:14:41,2026-05-18T11:00,-6.36,106.33,31.0,64,3.1,2,1002.8,0
2026-05-19 01:14:41,2026-05-18T12:00,-6.36,106.33,31.7,61,6.7,6,1002.0,0
2026-05-19 01:14:41,2026-05-18T13:00,-6.36,106.33,32.5,53,8.7,6,1001.0,0
2026-05-19 01:14:41,2026-05-18T14:00,-6.36,106.33,32.4,53,9.0,10,1000.4,0
2026-05-19 01:14:41,2026-05-18T15:00,-6.36,106.33,31.6,59,11.2,20,999.9,0
2026-05-19 01:14:41,2026-05-18T16:00,-6.36,106.33,30.6,65,10.5,59,999.9,0
2026-05-19 01:14:41,2026-05-18T17:00,-6.36,106.33,29.5,73,7.6,37,1000.2,0
2026-05-19 01:14:41,2026-05-18T18:00,-6.36,106.33,28.4,77,8.2,18,1001.0,0
2026-05-19 01:14:41,2026-05-18T19:00,-6.36,106.33,27.6,82,8.2,21,1002.0,0
2026-05-19 01:14:41,2026-05-18T20:00,-6.36,106.33,26.9,86,5.4,68,1003.0,0
2026-05-19 01:14:41,2026-05-18T21:00,-6.36,106.33,26.4,88,5.5,84,1004.0,0
2026-05-19 01:14:41,2026-05-18T22:00,-6.36,106.33,26.0,88,6.4,90,1004.4,0
2026-05-19 01:14:41,2026-05-18T23:00,-6.36,106.33,25.9,88,6.6,96,1004.1,0
2026-05-19 01:14:41,2026-05-19T00:00,-6.36,106.33,25.9,88,6.7,95,1003.9,0
2026-05-19 01:14:41,2026-05-19T01:00,-6.36,106.33,25.6,88,5.2,80,1003.2,0
2026-05-19 01:14:41,2026-05-19T02:00,-6.36,106.33,25.4,89,4.9,90,1002.7,0
2026-05-19 01:14:41,2026-05-19T03:00,-6.36,106.33,25.2,89,5.2,95,1002.5,0
2026-05-19 01:14:41,2026-05-19T04:00,-6.36,106.33,25.0,90,4.7,96,1002.3,0
2026-05-19 01:14:41,2026-05-19T05:00,-6.36,106.33,24.9,91,4.0,99,1002.3,0
2026-05-19 01:14:41,2026-05-19T06:00,-6.36,106.33,24.6,92,3.8,84,1002.7,0
2026-05-19 01:14:41,2026-05-19T07:00,-6.36,106.33,25.7,89,3.9,74,1003.3,0
2026-05-19 01:14:41,2026-05-19T08:00,-6.36,106.33,27.3,84,3.6,72,1004.0,0
2026-05-19 01:14:41,2026-05-19T09:00,-6.36,106.33,28.7,75,7.3,31,1004.6,0
2026-05-19 01:14:41,2026-05-19T10:00,-6.36,106.33,29.5,72,8.3,24,1004.5,0
